Scientificname,Commonname,SIGNAL_art,RL2020kat,Giftsvamp,Nyasvamp-boken,ekologi,Kriteriedokumentation
Cortinarius barbaricus,blåfotad fagerspindling,,VU,,,,"Bildar mykorrhiza med barrträd, framförallt gran, i äldre kalkbarrskog. Gick tidigare under namnet Cortinarius calochrous var. hasii och senare var. barbaricus innan den fick status som egen art. Förefaller ha svårt att etablera sig efter avverkning. Total population i landet bedöms ha minskat och minskar fortsatt p.g.a. att den huvudsakligen förekommer i äldre, tidigare inte kalavverkade kalkbarrskogar, som avverkas och minskar i areal. Antalet reproduktiva individer överstiger gränsvärdet för rödlistning. Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (800). 2) Bedömt antal unika mycel/lokal (5). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 800 (80-1600). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 3200 (400-3200) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. (A2c+3c+4c)."
Cortinarius caesiocortinatus,pilfotsspindling,,VU,,,,"Bildar mykorrhiza med främst ek, sällsynt även hassel, bok och lind i ängsekskog, hässlen, löväng och blandad ädellövskog på kalkrik mark. Värmeberoende. Bedöms ha liten population och fortgående minska pga. att dess växtmiljöer är känsliga för såväl igenväxning och förtätning som för hård utglesning av träd- och buskskikt i samband med avverkning och restaurering av betesmark. Antalet reproduktiva individer skattas till 4000 (800-8000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (200). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 200 (40-400). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 800 (215-1600) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (C2a(i))."
Catathelasma imperiale,kejsarskivling,,VU,,,,"Bildar mykorrhiza med tall, ibland även med gran. Växer huvudsakligen på kalkrik mark i barrskog, framförallt mossig gammal granskog med inslag av tall. Arten förefaller vara knuten till skogar med lång trädkontinuitet och gynnas troligen av skogsbete. Total population i landet bedöms ha minskat och minskar fortsatt p.g.a. att arten huvudsakligen förekommer i äldre kalkbarrskog som avverkas och minskar i areal. Antalet reproduktiva individer skattas till 4000 (800-8000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (200). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 200 (40-400). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 800 (200-800) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (A2c+3c+4c, C2a(i))."
Tricholoma sudum,torrmusseron,,VU,,,,"Bildar mykorrhiza med tall, huvudsakligen på sandig mark på magra äldre tallhedar med tunt fältskikt. Bara påträffad i äldre skog med naturskogskaraktär eller skogar som plock- eller dimensionsavverkats. Bedöms ha svårt att återetableras efter kalavverkning. De flesta aktuella lokalerna i landet finns från Medelpad och norrut. Troligen förbisedd, men den totala populationen i landet bedöms ha minskat starkt och fortgående att minska p.g.a. slutavverkningar av äldre tallskog. Antalet reproduktiva individer skattas till 8000 (800-16000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (400). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 400 (40-800). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 3000 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (A2c+3c+4c, C2a(i))."
Tricholoma ustaloides,mjölmusseron,,NT,,,,"Bildar mykorrhiza med ek, i ljusöppen ekskog, betad hagmark och löväng på mullrik och kalkhaltig mark. Troligen värmegynnad. En fortlöpande minskning på nationell nivå bedöms pågå, huvudsakligen p.g.a. igenväxning och förtätning av luckig ekskog. Omfattningen svår att bedöma. Antalet reproduktiva individer skattas till 15000 (3800-30000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (300). 2) Bedömt antal unika mycel/lokal (5). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 300 (66-600). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 1200 (328-1200) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Livskraftig (LC) till Sårbar (VU). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten rödlistas som Nära hotad (NT). (C2a(i))."
Gyrodon lividus,alsopp,S,LC,,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Ramaria brunneicontusa,gyllenfingersvamp,,VU,,,,"Bildar mykorrhiza med gran, i granskog på rikare mark, framförallt i kalkbarrskogar, ofta i samma växtmiljö som violgubbe. Arten har en östlig utbredning och förefaller ha sin huvudutbredning i Roslagen och nordöstra Uppland. Total population i landet bedöms ha minskat kraftigt och fortsatt minska, huvudsakligen p.g.a. slutavverkningar av äldre kontinuitetsskog. Kallades i tidigare rödlistor för R. largentii men ska enligt senaste taxonomin heta R. brunneicontusa. Antalet reproduktiva individer skattas till 8000 (1600-16000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (400). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 400 (80-800). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 2000 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. (A2c+3c+4c)."
Cortinarius alcalinophilus,fläckig saffransspindling,,VU,,,,"Bildar mykorrhiza med ek, bok och hassel och sällsynt även med solvända. Växer i ädellövrik skog, ängsbokskog, hässle och på kalktorräng i mosaikmarker. Arten förefaller trivas i ljusa, halvöppna trädbestånd och har sannolikt gynnats av äldre tiders markanvändning inom jordbruket. Total population i landet bedöms ha minskat och fortgående minska  p.g.a. avverkning av värdträd samt igenväxning och omvandling av halvöppna skogar till sluten skogsmark. Antalet reproduktiva individer skattas till 3000 (1200-6000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (150). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 150 (60-300). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 600 (280-600) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (C2a(i))."
Cyanoboletus pulverulentus,bläcksopp,S,LC,,,,"Bildar mykorrhiza med bok, ek och möjligen andra lövträd. Knuten till kalk- och näringsrik mark i ädellövskog, helst ängsbokskog. Värmekrävande art som förefaller kunna överleva avverkningar då lövträden kan skjuta stubbskott, uppträder också i yngre lövskog. Total population i landet bedöms vara stabil och så pass utbredd att den inte uppfyller kriterierna för att bli rödlistad. Antalet reproduktiva individer skattas till 3000 (1000-6000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (150). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 150 (50-300). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 300 kmÂ². Det finns inga tecken på betydande populationsförändring. Beroende på vilka av de skattade värdena som används varierar bedömningen från Livskraftig (LC) till Nära hotad (NT). Baserat på de troligaste värdena hamnar arten i kategorin Livskraftig (LC)."
Cortinarius flavovirens,mjölspindling,,VU,,,,"Bildar mykorrhiza med ek och hassel i ädellövskog, löväng och hässlen på kalkrik mark. Sannolikt en värmegynnad art. Total population i landet bedöms som liten och fortlöpande minska. Missgynnas både av igenväxning och alltför stark utglesning av träd- och buskskikt vid schablonartad restaurering av ädellövrika fodermarker. Utförd på rätt sätt kan dessa åtgärder vara gynnsamma för arten. Antalet reproduktiva individer skattas till 4000 (90-8000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (200). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 200 (45-400). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 800 (260-800) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (C2a(i))."
Craterellus cinereus,grå kantarell,,NT,,,,"Bildar mykorrhiza med ädellövträd, främst bok och ek i blandad ädellövskog, bokskog, ek-/hasselskog, löväng och hagmarker. Finns endast i äldre lövbestånd med lång kontinuitet. Förefaller ha minskat även i dessa miljöer varför en kontinuerligt försämring av habitatkvalitÃ© bedöms ha skett. Förutom avverkning av värdträd kan ökad kvävebelastning negativt påverka dess växtplatser. Antalet reproduktiva individer skattas till 7000 (1500-14000). Antalet lokalområden i landet skattas till 350 (75-700). Förekomstarean (AOO) skattas till 1200 (360-2400) kmÂ². Det föreligger indikation på eller misstanke om populationsminskning. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten har uppgått till 15 % under de senaste 50 åren. Under de kommande 50 åren förväntas minskningstakten uppgå till 15 %. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). (A2c+3c)."
